username,bintang,review
salonayu10,5,"Alhamdulillah paketnya sudah sampai dgn aman
Prodak asli ori dan berfungsi, cakep banget
Dan pas beli lgi sale jadi bisa hemmat dweh. 
Mudah2an awer PB nya. 
Pelayanan ramah packing rapih dan aman
Makasih kak seller."
rubbyaqilla13,5,"Alhamdulillah, pesanan saya sudah sampai nih ka dan sesuai pesanan...pengirimannya agak lama saya pesan bbrp item di bbrp lapak yg lain sudah sampai duluan ini yg terakhir. Kemasannya sangat rapi dikemas dg kantong plastik bubble. Mudah-mudahan awet dan tahan lama..."
n*****1,2,"pertama kali aku kasih bintang di bwh 4, tpi emang bener2 kesel karena barang yg dikirim salah aku pesennya yg warna hitam yg dtg putih dan harganya pun beda terus lampu ke3 cuma kedip2 dan lampu ke 4 ga nyala sama sekali, ada garansi jg udh mls krn seller di cht cuma jawab maaf ga ngasih saran."
erikatjhang,5,"Pengiriman sangat cepat, padahal belinya pas lagi event 12.12 dan packagingnya aman. Dapat harga promo 109.000 plus voucher cashback dari SHOPEE. Barang sampai dengan aman dan berfungsi dengan baik. Suka sekali dengan powerbank ini karena bentuknya simple tp elegan, dan nyaman digenggam. Terbaik!"
nandagiantari2002,5,"Jika ingin menghubungi layanan PLN 123, kamu dapat menggunakan saluran telepon taupun Handphone. Untuk pengguna telepon, bisa juga melalui layanan PLN 123 dengan nomor 123. Sementara untuk pengguna telepon genggam, hanya perlu menambahkan kode area tempat dimana kamu tinggal."
izkylasoma,5,alhamdulillah sudah sampai. berfungsi dengan baikk. ada garansinya jugaaa. thank you seller.
aestore__id,5,Produknya sudah sampai dan bagus karena beli langsung di ofc storenya robot. Dan powerbank nya baguss bgt warnanya juga bukan hijau yg norak.  Thanks seller
s*****a,5,"Maaf baru diriview, Packing aman, produknya bagus tapi belum dicoba. Semoga awet👍👍👍👍"
giffarinurauliaputri,5,"Maaf ga ada videonya soalnya sudah di yang punya 🤭🤭 Powerbanknya bagus, sampai juga dengan cepat terima kasih 🥰🥰🥰"
rian13111997,5,"Sukaa warnanya,, semoga bertahan lama lah yaa, semoga gak cepat rusak biar gak beli lagi,,, tpi power bank baguuus gak nyesel belinya krn butuh juga apalagi klw lagi d luar atau bagi hp yg batrainya gak tahan lama, bagus juga beli ini"
nurainirp,4,"Akhirnya sampai! Ini ngecasnya cepet dan bentuknya ga begitu tebel. Worth to buy buat kaum yg hpnya gampang lobet :"")"
y*****8,5,"Alhamdulillah barang sudah sampai... sudah 3x beli powerbank robot dan selalu awet, semoga yang ini juga awet. Produk original, pengiriman dan respon penjual cepat"
