;Tweet;sentimen;step01;tokens;final_tokens;step02;ProcessedText
0;RT @FiersaBesari: Sampai jumpa, Kuala Lumpur ❤️ https://t.co/mAwzEzIHfv;0;rt user sampai jumpa kuala lumpur comawzezihfv;['rt', 'user', 'sampai', 'jumpa', 'kuala', 'lumpur', 'comawzezihfv'];['rt', 'user', 'sampai', 'jumpa', 'kuala', 'lumpur', 'comawzezihfv'];rt user sampai jumpa kuala lumpur comawzezihfv;rt user jumpa kuala lumpur comawzezihfv
1;Terima kasih @AngkasaSpace @ELMIELMO untuk malam galau Indonesia bersama @FiersaBesari . Puas !… https://t.co/MWcUEpnAiG;0;terima kasih user user untuk malam galau indonesia bersama user puas comwcuepnaig;['terima', 'kasih', 'user', 'user', 'untuk', 'malam', 'galau', 'indonesia', 'bersama', 'user', 'puas', 'comwcuepnaig'];['terima', 'kasih', 'user', 'user', 'untuk', 'malam', 'galau', 'indonesia', 'bersama', 'user', 'puas', 'comwcuepnaig'];terima kasih user user untuk malam galau indonesia bersama user puas comwcuepnaig;terima kasih user user malam galau indonesia sama user puas comwcuepnaig
2;lovely 🤍🫶 Nangis ya sambil layan lagu. Real nangis masa lagu Temaram :,( Terima kasih @AngkasaSpace @ELMIELMO untuk… https://t.co/rtDCuT3iVO;1;lovely nangis ya sambil layan lagu real nangis masa lagu temaram terima kasih user user untuk cortdcut3ivo;['lovely', 'nangis', 'ya', 'sambil', 'layan', 'lagu', 'real', 'nangis', 'masa', 'lagu', 'temaram', 'terima', 'kasih', 'user', 'user', 'untuk', 'cortdcut3ivo'];['lovely', 'nangis', 'iya', 'sambil', 'layan', 'lagu', 'real', 'nangis', 'masa', 'lagu', 'temaram', 'terima', 'kasih', 'user', 'user', 'untuk', 'cortdcut3ivo'];lovely nangis iya sambil layan lagu real nangis masa lagu temaram terima kasih user user untuk cortdcut3ivo;lovely nang iya layan lagu real nang masa lagu temaram terima kasih user user cortdcut3ivo
3;"Tanda hadir! #FiersaBesariLiveinKL

Semoga bisa kembali lagi kesini @FiersaBesari ♥️ https://t.co/yYR05uueRj… https://t.co/uJojg0XaXG";0;tanda hadir hashtag fiersa besari livein kl hashtag semoga bisa kembali lagi kesini user coyyr05uuerj coujojg0xaxg;['tanda', 'hadir', 'hashtag', 'fiersa', 'besari', 'livein', 'kl', 'hashtag', 'semoga', 'bisa', 'kembali', 'lagi', 'kesini', 'user', 'coyyr05uuerj', 'coujojg0xaxg'];['tanda', 'hadir', 'hashtag', 'fiersa', 'besari', 'livein', 'kalau', 'hashtag', 'semoga', 'bisa', 'kembali', 'lagi', 'kesini', 'user', 'coyyr05uuerj', 'coujojg0xaxg'];tanda hadir hashtag fiersa besari livein kalau hashtag semoga bisa kembali lagi kesini user coyyr05uuerj coujojg0xaxg;tanda hadir hashtag fiersa besar livein kalau hashtag moga kembali kesini user coyyr05uuerj coujojg0xaxg
4;Weyh best gila @FiersaBesari !!!! Makasih bang! https://t.co/tJzlADMMU9;1;weyh best gila user makasih bang cotjzladmmu9;['weyh', 'best', 'gila', 'user', 'makasih', 'bang', 'cotjzladmmu9'];['weyh', 'best', 'gila', 'user', 'makasih', 'bang', 'cotjzladmmu9'];weyh best gila user makasih bang cotjzladmmu9;weyh best gila user makasih bang cotjzladmmu9
5;Terima kasih @FiersaBesari #FiersaBesariliveinKL https://t.co/elqwttyUiV… https://t.co/TPQEDuHKJ1;0;terima kasih user hashtag fiersa besarilivein kl hashtag coelqwttyuiv cotpqeduhkj1;['terima', 'kasih', 'user', 'hashtag', 'fiersa', 'besarilivein', 'kl', 'hashtag', 'coelqwttyuiv', 'cotpqeduhkj1'];['terima', 'kasih', 'user', 'hashtag', 'fiersa', 'besarilivein', 'kalau', 'hashtag', 'coelqwttyuiv', 'cotpqeduhkj1'];terima kasih user hashtag fiersa besarilivein kalau hashtag coelqwttyuiv cotpqeduhkj1;terima kasih user hashtag fiersa besarilivein kalau hashtag coelqwttyuiv cotpqeduhkj1
6;RT @FiersaBesari: Sampai jumpa, Kuala Lumpur ❤️ https://t.co/mAwzEzIHfv;0;rt user sampai jumpa kuala lumpur comawzezihfv;['rt', 'user', 'sampai', 'jumpa', 'kuala', 'lumpur', 'comawzezihfv'];['rt', 'user', 'sampai', 'jumpa', 'kuala', 'lumpur', 'comawzezihfv'];rt user sampai jumpa kuala lumpur comawzezihfv;rt user jumpa kuala lumpur comawzezihfv
7;"RT @FiersaBesari: “Aku hanya seorang pengecut sedang jatuh hati, memberi perhatian tapi bukan kepastian”
.
Barusan waktu check sound, menco…";1;rt user aku hanya seorang pengecut sedang jatuh hati memberi perhatian tapi bukan kepastian barusan waktu check sound menco;['rt', 'user', 'aku', 'hanya', 'seorang', 'pengecut', 'sedang', 'jatuh', 'hati', 'memberi', 'perhatian', 'tapi', 'bukan', 'kepastian', 'barusan', 'waktu', 'check', 'sound', 'menco'];['rt', 'user', 'aku', 'hanya', 'seorang', 'pengecut', 'sedang', 'jatuh', 'hati', 'memberi', 'perhatian', 'tapi', 'bukan', 'kepastian', 'barusan', 'waktu', 'check', 'sound', 'menco'];rt user aku hanya seorang pengecut sedang jatuh hati memberi perhatian tapi bukan kepastian barusan waktu check sound menco;rt user aku orang kecut sedang jatuh hati beri perhati bukan pasti barusan waktu check sound menco
8;@FiersaBesari apa yg saya punya sekarang itu yg saya pakai suporrt terus bang;0;user apa yg saya punya sekarang itu yg saya pakai suporrt terus bang;['user', 'apa', 'yg', 'saya', 'punya', 'sekarang', 'itu', 'yg', 'saya', 'pakai', 'suporrt', 'terus', 'bang'];['user', 'apa', 'yang', 'saya', 'punya', 'sekarang', 'itu', 'yang', 'saya', 'pakai', 'suporrt', 'terus', 'bang'];user apa yang saya punya sekarang itu yang saya pakai suporrt terus bang;user apa punya sekarang yang saya pakai suporrt terus bang
9;Jangan lupa saling tunjuk sana sini https://t.co/WJQHA5BRJj;0;jangan lupa saling tunjuk sana sini cowjqha5brjj;['jangan', 'lupa', 'saling', 'tunjuk', 'sana', 'sini', 'cowjqha5brjj'];['jangan', 'lupa', 'saling', 'tunjuk', 'sana', 'sini', 'cowjqha5brjj'];jangan lupa saling tunjuk sana sini cowjqha5brjj;jangan lupa saling tunjuk sana sini cowjqha5brjj
