,Tweets
0,"@fannysoegi @naufalbahir Bukunya terlihat sudah beda lagi, padahal yang itu belum selesai 👋🏼"
1,@hysndrf_irref @NajwaShihab Sudah. Menyenangkan sekali karya saya dibaca anak muda di sana 😊❤️
2,@dedekryy See you ❤️
3,"Sampai jumpa, Kuala Lumpur ❤️ https://t.co/mAwzEzIHfv"
4,Turut berduka cita yang terdalam atas tragedi yang terjadi di Itaewon #prayforitaewon 💔
5,"Sekarang, segini dulu. Biar masih banyak kurangnya, enggak apa-apa. Diusahakan pelan-pelan"
6,@Dzawinur Jadi lah featuring
7,Terima kasih karena telah berjuang sampai Semarang https://t.co/YQeMHzN8Rh
8,@HeyBudie https://t.co/pOazsIDfLy
9,"Tuhan, mauku enggak banyak. Satu aja. Tapi susah. Susah banget. Bangetnya kebangetan. Tapi, bisa kali, ya, Tuhan.
Aamiin"
10,"Niatnya main-main. Eh, mainnya kejauhan"
11,"Dulur dan Kawan-kawan Semarang, sampai jumpa di acara Ankama 1.0 
.
⏰️ 28 Oktober 2022
📍 Universitas PGRI Semarang… https://t.co/tpYjCj4Wnh"
12,"Seperti biasa, sakitnya dipendam sampai redam"
13,Yang tidak sadar Whatsapp eror karena memang tidak ada yang nge-chat 🙋🏻‍♂️🥲
14,"“Melihatmu tersenyum, walau tak pernah berbalas. Bahagiamu juga bahagiaku”
.
Terima kasih, Cimahi. Intim sekali ❤️ https://t.co/jnUSHheDRB"
15,@cania_citta 👏🏼👏🏼👏🏼👏🏼
16,"Sepertinya memang harus bergantung pada diri sendiri. Orang-orang bisa janji ini-itu, tapi ujungnya hilang-hilang juga"
17,@pendakilawas Kadang cuma jadi serep
18,"Hidup ini seperti roda. Kadang di bawah, kadang diganti"
19,"@ivanlanin “Hai! Udah sarapan, belum? ❤️”"
20,@WPRL5024 Enggak apa. Gas
21,@141144o https://t.co/RtkATSnJv4
22,"“Kita perlu kecewa untuk tahu bahagia. Bukankah luka menjadikan kita saling menguatkan?”
.
Terima kasih senang send… https://t.co/Dz2O0oyuHB"
23,Kita semua rupawan. Hanya perlu disinari cahaya yang tepat
24,"“Bukan tentang bunga dan cokelat, tapi tentang siapa yang tak pernah pergi saat kau terluka, aku orangnya”
.
Terima… https://t.co/p6T2wqXmd5"
25,"@refalhady Untuk meluapkan emosi, Mas"
26,"RT @BBCIndonesia: ""Cuma racun yang kuat yang membuatnya seperti itu,"" kata Curie Mamonto Loho setelah Melody, sang anak meninggal dunia aki…"
27,"@davidnurbianto Legend. Untuk bikin mixtape, atau sekadar rekaman demo"
28,"@balibullz Tiap hari, muncul berita baru, mengecek pempers anak, apakah volume urinnya berkurang? Tiap hari … harus … khawatir"
29,"Rakyat enggak bisa diam? Oh, kerahkan buzzer saja. Solusi termudah dibanding berbenah di negara terpayah 👋🏼"
30,"Dari sepak bola sampai obat anak. Makin hari makin kelihatan, negara enggak peduli sama nasib rakyatnya. Ngang-ngon… https://t.co/6JrBxJesfJ"
31,"@KuntoAjiW Pun10, E&amp; Q2 euy"
32,"Bangun tidur ku terus
banyak masalah"
33,@GME_official @perunggu__ Terbaik
34,@SpotifyID 😘
35,"Eh, eh, cek deh cover Puncak Klasemen Spotify hari ini 😶"
36,"“Tertawa lagi, tutupi sakit. Terasa sesak hingga tangis pun meledak. Ingin teriak, ingin didengar. Namun tersadar,… https://t.co/VFcrirhrH2"
37,@tafacore @MRKG231 Bangsat!
38,"@wiranagara Terima kasih, Mas Wir ❤️"
39,Hidupku garing. Tapi seneng aja gitu ada kamunya
40,@seterahdeh 🥲 https://t.co/Vrc5dbAW8t
41,"@Dzawinur Kan inspirasinya memang situ. Terima kasih, lheeeuuu"
42,@Restif28_ Anjay dattebayo
43,Akhirnya kesampaian bawain lagu ini untuk jadi intro manggung. Bahagia sekali ❤️ https://t.co/47BIdf9VnP
44,@ndagels Cuma kepo doang habis tuh ya digibahin di grup lain
45,@fbypnc Aku paling suka yang Liar Anime 🥺
46,"Kadang kupikir, orang-orang enggak betulan peduli. Mereka cuma penasaran"
47,"“Disuruh pasrah, saat dalam masalah. Terpaksa tampil bahagia”
.
“Komedi Tragis” sudah bisa dinikmati di platform mu… https://t.co/t9wiq2e1E6"
48,@bdngfess Duren
49,@fbypnc Oi. Ganti profpic
50,@petrychorr Bapake Kinasih
51,@tuti_mardianti Lhoooo
52,"“Waktu kau sedih, ku di sini. Waktu kau senang, kau di mana?”
.
Terima kasih, Bandung. Setelah hampir tiga tahun ti… https://t.co/wn86SFjAJx"
53,@coconucth Jodoh orang adalah jodohmu juga. Karena kamu adalah orang
54,Lagu Tulus kesukaanmu https://t.co/OHIFOot5hr
55,@muhfaay Ceptol
56,"@korawa_ Mau lanjut nulis Ica-ica Paradise, tapi untuk dapat inspirasinya takut dimaki-maki SJW 🥲"
57,"“Aku hanya seorang pengecut sedang jatuh hati, memberi perhatian tapi bukan kepastian”
.
Barusan waktu check sound,… https://t.co/Npq1FGEG0V"
58,"Cemburuan banget, sih
… aku 🥲"
59,@zivamagnolyeah Bayangkan ketika pendakian 😅
60,@bangbaud_ ❤️
